CEFR Level,Precision,Recall,F1-Score,Support
A1,0.7273,0.7273,0.7273,11
A2,0.6000,0.6000,0.6000,15
B1,0.5789,0.5789,0.5789,19
B2,0.5882,0.5882,0.5882,17
C1,0.5714,0.5714,0.5714,14
C2,0.6364,0.6364,0.6364,11
macro avg,0.6170,0.6170,0.6170,87
weighted avg,0.6092,0.6092,0.6092,87
