Experiment,Method,P@10,R@10,MAP,F1,MRR,Accuracy
SBERT + Metadata + RAG,sbert_metadata_rag,0.3768343815513627,0.010589163590276703,0.25829115503643807,0.019668977550447598,0.4960887324881036,0.5435684647302904
SBERT + Metadata,sbert_metadata,0.3768343815513627,0.010589163590276703,0.25829115503643807,0.019668977550447598,0.4960887324881036,0.5435684647302904
